Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,3e-07,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,10,1
Vertical Units,V,V,A
Vertical Offset,0,10,0.0452
Vertical Scale,5,0.2,0.005
Vertical Position,2.66,4.86,-0.66
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH4
-4.592e-05,4.5,9.276,0.0451
-4.591e-05,4.5,9.268,0.0447
-4.590e-05,4.5,9.276,0.0449
-4.589e-05,4.5,9.276,0.0445
-4.588e-05,4.7,9.276,0.0447
-4.587e-05,4.5,9.268,0.0451
-4.586e-05,4.7,9.276,0.0447
-4.585e-05,4.7,9.276,0.0451
-4.584e-05,4.7,9.276,0.0451
-4.583e-05,4.5,9.268,0.0447
-4.582e-05,4.3,9.276,0.0447
-4.581e-05,4.5,9.26,0.0449
-4.580e-05,4.5,9.268,0.0447
-4.579e-05,4.7,9.268,0.0447
-4.578e-05,4.7,9.268,0.0445
-4.577e-05,4.5,9.268,0.0453
-4.576e-05,4.3,9.268,0.0447
-4.575e-05,4.5,9.268,0.0447
-4.574e-05,4.5,9.268,0.0443
-4.573e-05,4.7,9.276,0.0449
-4.572e-05,4.5,9.268,0.0447
-4.571e-05,4.7,9.26,0.0447
-4.570e-05,4.5,9.26,0.0445
-4.569e-05,4.3,9.26,0.0447
-4.568e-05,4.7,9.252,0.0445
-4.567e-05,4.5,9.26,0.0449
-4.566e-05,4.5,9.26,0.0449
-4.565e-05,4.5,9.26,0.0447
-4.564e-05,4.5,9.26,0.0449
-4.563e-05,4.7,9.252,0.0451
-4.562e-05,4.7,9.252,0.0445
-4.561e-05,4.7,9.26,0.0447
-4.560e-05,4.7,9.252,0.0447
-4.559e-05,4.5,9.252,0.0445
-4.558e-05,4.5,9.244,0.0445
-4.557e-05,4.5,9.252,0.0445
-4.556e-05,4.5,9.252,0.0449
-4.555e-05,4.7,9.252,0.0445
-4.554e-05,4.5,9.244,0.0447
-4.553e-05,4.7,9.252,0.0445
-4.552e-05,4.5,9.252,0.0449
-4.551e-05,4.5,9.244,0.0447
-4.550e-05,4.5,9.244,0.0449
-4.549e-05,4.7,9.244,0.0449
-4.548e-05,4.5,9.252,0.0445
-4.547e-05,4.5,9.244,0.0451
-4.546e-05,4.7,9.244,0.0445
-4.545e-05,4.7,9.252,0.0445
-4.544e-05,4.5,9.236,0.0447
-4.543e-05,4.7,9.252,0.0447
-4.542e-05,4.7,9.236,0.0445
-4.541e-05,4.5,9.236,0.0443
-4.540e-05,4.5,9.236,0.0447
-4.539e-05,4.7,9.236,0.0447
-4.538e-05,4.7,9.236,0.0447
-4.537e-05,4.5,9.236,0.0443
-4.536e-05,4.7,9.236,0.0447
-4.535e-05,4.7,9.244,0.0443
-4.534e-05,4.7,9.228,0.0441
-4.533e-05,4.5,9.228,0.0445
-4.532e-05,4.5,9.236,0.0445
-4.531e-05,4.3,9.228,0.0445
-4.530e-05,4.5,9.228,0.0443
-4.529e-05,4.5,9.228,0.0441
-4.528e-05,4.7,9.236,0.0445
-4.527e-05,4.5,9.228,0.0447
-4.526e-05,4.7,9.22,0.0445
-4.525e-05,4.7,9.228,0.0445
-4.524e-05,4.5,9.22,0.0443
-4.523e-05,4.5,9.228,0.0441
-4.522e-05,4.7,9.228,0.0443
-4.521e-05,4.5,9.228,0.0447
-4.520e-05,4.5,9.228,0.0445
-4.519e-05,4.7,9.236,0.0443
-4.518e-05,4.5,9.228,0.0443
-4.517e-05,4.5,9.22,0.0447
-4.516e-05,4.5,9.22,0.0445
-4.515e-05,4.5,9.212,0.0445
-4.514e-05,4.5,9.228,0.0443
-4.513e-05,4.3,9.228,0.0443
-4.512e-05,4.7,9.22,0.0445
-4.511e-05,4.5,9.22,0.0443
-4.510e-05,4.5,9.228,0.0445
-4.509e-05,4.5,9.22,0.0447
-4.508e-05,4.7,9.212,0.0443
-4.507e-05,4.5,9.22,0.0443
-4.506e-05,4.5,9.22,0.0445
-4.505e-05,4.5,9.22,0.0443
-4.504e-05,4.3,9.204,0.0441
-4.503e-05,4.7,9.212,0.0443
-4.502e-05,4.5,9.204,0.0443
-4.501e-05,4.7,9.212,0.0441
-4.500e-05,4.7,9.204,0.0445
-4.499e-05,4.5,9.212,0.0445
-4.498e-05,4.5,9.204,0.0445
-4.497e-05,4.5,9.204,0.0445
-4.496e-05,4.5,9.204,0.0445
-4.495e-05,4.5,9.204,0.0445
-4.494e-05,4.5,9.204,0.0443
-4.493e-05,4.7,9.196,0.0443
-4.492e-05,4.5,9.196,0.0443
-4.491e-05,4.7,9.204,0.0443
-4.490e-05,4.7,9.204,0.0445
-4.489e-05,4.7,9.196,0.0447
-4.488e-05,4.7,9.204,0.0441
-4.487e-05,4.5,9.204,0.0441
-4.486e-05,4.7,9.196,0.0445
-4.485e-05,4.7,9.204,0.0445
-4.484e-05,4.7,9.204,0.0445
-4.483e-05,4.7,9.188,0.0441
-4.482e-05,4.7,9.196,0.0441
-4.481e-05,4.3,9.188,0.0443
-4.480e-05,4.5,9.196,0.0445
-4.479e-05,4.7,9.196,0.0443
-4.478e-05,4.5,9.196,0.0439
-4.477e-05,4.7,9.188,0.0441
-4.476e-05,4.5,9.188,0.0445
-4.475e-05,4.7,9.18,0.0443
-4.474e-05,4.5,9.196,0.0443
-4.473e-05,4.7,9.188,0.0443
-4.472e-05,4.3,9.196,0.0445
-4.471e-05,4.5,9.18,0.0439
-4.470e-05,4.7,9.188,0.0443
-4.469e-05,4.5,9.188,0.0447
-4.468e-05,4.7,9.188,0.0441
-4.467e-05,4.7,9.172,0.0445
-4.466e-05,4.7,9.18,0.0439
-4.465e-05,4.5,9.172,0.0441
-4.464e-05,4.5,9.172,0.0445
-4.463e-05,3.9,9.172,0.0445
-4.462e-05,2.7,9.18,0.0439
-4.461e-05,2.7,9.172,0.0445
-4.460e-05,3.3,9.196,0.0445
-4.459e-05,3.3,9.22,0.0445
-4.458e-05,3.3,9.196,0.0443
-4.457e-05,3.1,9.156,0.0437
-4.456e-05,3.1,9.172,0.0439
-4.455e-05,2.7,9.212,0.0449
-4.454e-05,2.5,9.228,0.0451
-4.453e-05,1.9,9.212,0.0445
-4.452e-05,1.5,9.196,0.0443
-4.451e-05,1.5,9.228,0.0445
-4.450e-05,1.7,9.396,0.0449
-4.449e-05,1.3,9.268,0.0459
-4.448e-05,1.1,9.316,0.0447
-4.447e-05,1.1,9.316,0.0443
-4.446e-05,1.1,9.284,0.0447
-4.445e-05,0.9,9.34,0.0449
-4.444e-05,0.7,9.348,0.0455
-4.443e-05,0.3,9.34,0.0457
-4.442e-05,-0.1,9.372,0.0453
-4.441e-05,-0.1,9.356,0.0449
-4.440e-05,-0.1,9.3,0.0447
-4.439e-05,-0.3,9.284,0.0449
-4.438e-05,-0.3,9.3,0.0447
-4.437e-05,-0.5,9.284,0.0447
-4.436e-05,-0.5,9.26,0.0445
-4.435e-05,-0.7,9.22,0.0443
-4.434e-05,-0.5,9.212,0.0445
-4.433e-05,-0.5,9.196,0.0443
-4.432e-05,-0.5,9.172,0.0443
-4.431e-05,-0.5,9.164,0.0443
-4.430e-05,-0.3,9.156,0.0443
-4.429e-05,0.1,9.172,0.0441
-4.428e-05,-0.1,9.148,0.0441
-4.427e-05,0.1,9.14,0.0443
-4.426e-05,0.1,9.14,0.0443
-4.425e-05,0.3,9.156,0.0443
-4.424e-05,0.5,9.164,0.0437
-4.423e-05,0.7,9.156,0.0445
-4.422e-05,0.9,9.172,0.0441
-4.421e-05,0.9,9.196,0.0447
-4.420e-05,1.1,9.204,0.0441
-4.419e-05,0.9,9.212,0.0441
-4.418e-05,1.1,9.212,0.0445
-4.417e-05,1.1,9.252,0.0447
-4.416e-05,0.9,9.268,0.0445
-4.415e-05,1.1,9.26,0.0447
-4.414e-05,0.9,9.268,0.0447
-4.413e-05,0.7,9.292,0.0451
-4.412e-05,0.9,9.292,0.0445
-4.411e-05,0.5,9.308,0.0453
-4.410e-05,0.5,9.292,0.0449
-4.409e-05,0.3,9.3,0.0449
-4.408e-05,0.3,9.292,0.0447
-4.407e-05,0.3,9.3,0.0451
-4.406e-05,0.1,9.284,0.0449
-4.405e-05,0.1,9.284,0.0451
-4.404e-05,0.1,9.276,0.0449
-4.403e-05,-0.3,9.268,0.0449
-4.402e-05,-0.1,9.252,0.0449
-4.401e-05,-0.1,9.236,0.0449
-4.400e-05,-0.1,9.236,0.0445
-4.399e-05,-0.3,9.236,0.0445
-4.398e-05,0.3,9.22,0.0443
-4.397e-05,0.1,9.22,0.0447
-4.396e-05,0.1,9.22,0.0441
-4.395e-05,0.3,9.212,0.0445
-4.394e-05,0.1,9.212,0.0443
-4.393e-05,0.5,9.204,0.0447
-4.392e-05,0.3,9.22,0.0447
-4.391e-05,0.5,9.22,0.0439
-4.390e-05,0.5,9.228,0.0445
-4.389e-05,0.5,9.228,0.0447
-4.388e-05,0.7,9.236,0.0447
-4.387e-05,0.7,9.244,0.0443
-4.386e-05,0.9,9.252,0.0451
-4.385e-05,0.7,9.26,0.0447
-4.384e-05,0.7,9.268,0.0447
-4.383e-05,0.7,9.276,0.0449
-4.382e-05,0.7,9.276,0.0447
-4.381e-05,0.5,9.284,0.0451
-4.380e-05,0.7,9.284,0.0447
