Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0
Sample Interval,1e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,-4.28
,
,
,
Label,
TIME,CH3
-4.119e-02,4.8
-4.118e-02,4.8
-4.117e-02,4.76
-4.116e-02,4.64
-4.115e-02,4.72
-4.114e-02,4.76
-4.113e-02,4.76
-4.112e-02,4.68
-4.111e-02,4.68
-4.110e-02,4.64
-4.109e-02,4.76
-4.108e-02,4.76
-4.107e-02,5.96
-4.106e-02,4.72
-4.105e-02,4.68
-4.104e-02,4.68
-4.103e-02,4.72
-4.102e-02,5
-4.101e-02,4.72
-4.100e-02,4.68
-4.099e-02,4.96
-4.098e-02,4.72
-4.097e-02,4.76
-4.096e-02,4.68
-4.095e-02,4.68
-4.094e-02,4.72
-4.093e-02,4.72
-4.092e-02,4.8
-4.091e-02,4.72
-4.090e-02,4.68
-4.089e-02,4.72
-4.088e-02,4.72
-4.087e-02,4.76
-4.086e-02,4.76
-4.085e-02,4.76
-4.084e-02,4.2
-4.083e-02,4.76
-4.082e-02,4.76
-4.081e-02,4.8
-4.080e-02,4.68
-4.079e-02,4.68
-4.078e-02,4.76
-4.077e-02,4.8
-4.076e-02,4.76
-4.075e-02,4.68
-4.074e-02,4.72
-4.073e-02,4.72
-4.072e-02,4.72
-4.071e-02,4.92
-4.070e-02,4.68
-4.069e-02,4.68
-4.068e-02,4.68
-4.067e-02,4.72
-4.066e-02,4.64
-4.065e-02,4.8
-4.064e-02,4.64
-4.063e-02,4.8
-4.062e-02,4.72
-4.061e-02,4.72
-4.060e-02,4.72
-4.059e-02,4.68
-4.058e-02,4.68
-4.057e-02,4.72
-4.056e-02,4.76
-4.055e-02,4.72
-4.054e-02,4.72
-4.053e-02,4.72
-4.052e-02,4.76
-4.051e-02,4.8
-4.050e-02,4.72
-4.049e-02,4.64
-4.048e-02,4.28
-4.047e-02,4.72
-4.046e-02,4.8
-4.045e-02,4.8
-4.044e-02,4.68
-4.043e-02,4.72
-4.042e-02,4.76
-4.041e-02,4.8
-4.040e-02,4.8
-4.039e-02,4.64
-4.038e-02,4.68
-4.037e-02,4.68
-4.036e-02,4.8
-4.035e-02,4.92
-4.034e-02,4.68
-4.033e-02,4.68
-4.032e-02,4.68
-4.031e-02,4.76
-4.030e-02,5.08
-4.029e-02,4.8
-4.028e-02,4.64
-4.027e-02,4.52
-4.026e-02,4.72
-4.025e-02,4.72
-4.024e-02,4.72
-4.023e-02,4.72
-4.022e-02,4.68
-4.021e-02,4.76
-4.020e-02,4.8
-4.019e-02,4.72
-4.018e-02,4.72
-4.017e-02,4.72
-4.016e-02,4.8
-4.015e-02,4.76
-4.014e-02,4.72
-4.013e-02,4.68
-4.012e-02,4.6
-4.011e-02,4.76
-4.010e-02,4.8
-4.009e-02,4.8
-4.008e-02,4.68
-4.007e-02,4.76
-4.006e-02,4.72
-4.005e-02,4.76
-4.004e-02,4.76
-4.003e-02,4.64
-4.002e-02,4.68
-4.001e-02,4.68
-4.000e-02,4.72
-3.999e-02,5.08
-3.998e-02,4.68
-3.997e-02,4.64
-3.996e-02,4.72
-3.995e-02,4.72
-3.994e-02,4.16
-3.993e-02,4.64
-3.992e-02,4.72
-3.991e-02,4.44
-3.990e-02,4.76
-3.989e-02,4.8
-3.988e-02,4.76
-3.987e-02,4.72
-3.986e-02,4.68
-3.985e-02,4.8
-3.984e-02,4.76
-3.983e-02,4.68
-3.982e-02,4.68
-3.981e-02,4.68
-3.980e-02,4.72
-3.979e-02,4.76
-3.978e-02,4.72
-3.977e-02,4.8
-3.976e-02,4.56
-3.975e-02,4.72
-3.974e-02,4.8
-3.973e-02,4.8
-3.972e-02,4.68
-3.971e-02,4.76
-3.970e-02,4.76
-3.969e-02,4.76
-3.968e-02,4.76
-3.967e-02,4.68
-3.966e-02,4.68
-3.965e-02,4.68
-3.964e-02,4.76
-3.963e-02,4.08
-3.962e-02,4.68
-3.961e-02,4.72
-3.960e-02,4.68
-3.959e-02,4.76
-3.958e-02,2.92
-3.957e-02,4.76
-3.956e-02,4.8
-3.955e-02,4.68
-3.954e-02,4.68
-3.953e-02,4.76
-3.952e-02,4.72
-3.951e-02,4.68
-3.950e-02,4.72
-3.949e-02,4.76
-3.948e-02,4.8
-3.947e-02,4.68
-3.946e-02,4.68
-3.945e-02,4.72
-3.944e-02,4.72
-3.943e-02,4.72
-3.942e-02,4.68
-3.941e-02,4.76
-3.940e-02,4.8
-3.939e-02,4.76
-3.938e-02,4.8
-3.937e-02,4.8
-3.936e-02,4.68
-3.935e-02,4.68
-3.934e-02,4.72
-3.933e-02,4.8
-3.932e-02,4.8
-3.931e-02,4.72
-3.930e-02,4.68
-3.929e-02,4.76
-3.928e-02,4.72
-3.927e-02,4.76
-3.926e-02,4.68
-3.925e-02,4.64
-3.924e-02,4.68
